"item.eat"								"* {insert ITEM}'ı yedim."
"item.equip"							"* {insert ITEM}'ı giydim."
"item.heal.part"						"* {insert HP} CAN geri kazandım!"
"item.heal.all"							"* CANIM doldu!"
"item.drop.0"							"* {insert ITEM}'ı yere attım."
"item.drop.1"							"* {insert ITEM}'a güzel bir elveda&  ettim."
"item.drop.2"							"* {insert ITEM}'ı yere koydum ve&  güzelce okşadım."
"item.drop.3"							"* {insert ITEM}'ı sert bir şekilde&  yere attım."
"item.drop.4"							"* You abandoned the &  {insert ITEM}."
"item.stick.name"						"Çubuk"
"item.stick.info"						"* Çubuk - Silah AT 0&* Ucu sanıldığından&  daha keskindir."
"item.stick.use"						"* Çubuğu yere attım.{sleep 20}&* Sonra geri aldım."

"item.bandage.name"						"Bandaj"
"item.bandage.info"						"* Bandaj - 10 HP Kazandırır&* It has already been used&  several times."
"item.bandage.use.0"					"* Bandajı yeniden sardın."
"item.bandage.use.1"					"* Hala yapışkan."

"item.toy_knife.name"					"Oyuncak Bıçak"
"item.toy_knife.info"					"* Oyuncak Bıçak - Silah AT 3&* Plastikten yapılmış.&* Artık bir moda."

"item.faded_ribbon.name"				"Saydam Atkı"
"item.faded_ribbon.name.short"			"Saydam Atkı"
"item.faded_ribbon.info"				"* Saydam Atkı - Zırh DF 3&* Tatlı gözükürsem,{sleep 20} rakiplerim&  bana daha az saldırır."

"item.stone.name"						"Taş"
"item.stone.name.short"					"Taş"
"item.stone.name.short.serious"			"Taş"
"item.stone.use.0"					"* CELLIEN'a birkaç taş attım,&  ama hepsi uzağa gitti."
"item.stone.use.1"					"* Belki de başka bir şey&  kullanmam lazım."

"item.strange_paper.name"				"Gizemli Kağıt"
"item.strange_paper.name.short"			"Gzemli. Kağt."
"item.strange_paper.name.serious"			"Gzmli. Kğt."
"item.strange_paper.use.0"				"* Bütün endişemi kenara&  atarak kağıdı katlamaya&  başladım."
"item.strange_paper.use.1"				"* Birkaç adımdan sonra,&  \"{color `yellow`}KAĞIT UÇAĞIM{color `white`}\" hazır oldu."

"item.paper_plane.name"					"Kağıt Uçak"
"item.paper_plane.name.short"				"Kağt. Uçk."
"item.paper_plane.name.short.serious"		"Kğt. Uçk."
"item.paper_plane.use.0"				"* Kağıt uçağımı CELLIEN'in&  tam yanına attım..."
"item.paper_plane.use.1"				"* Kağıt sonradan CELLIEN'in&  ilgisini çekti,{w} ve tabii ki&  zayıf noktasını açığa çıkardı..{sleep 120}{end}"

"item.hat.name"						"Safari Şapkası"
"item.hat.name.short"					"Sfri. Şpksı."
"item.hat.name.short.serious"				"Sfri. Şpk."
"item.hat.info"						"* Safari Şapkası - Zırh DF 10&* Normal safari şapkası."
